epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3829.87,1.36962,1.19772,1.48217,0.71174,0.59286,0.63215,0.34123,1.56325,1.19058,1.59039,0.000614,0.000614,0.000614
44,3890.57,1.37268,1.17991,1.48423,0.73086,0.59628,0.64943,0.35738,1.54999,1.1816,1.5849,0.000581,0.000581,0.000581
45,3950.8,1.38156,1.19364,1.47405,0.74866,0.6075,0.66219,0.35115,1.60924,1.23006,1.62204,0.000548,0.000548,0.000548
46,4011.2,1.34812,1.1563,1.46472,0.72889,0.59281,0.64455,0.34971,1.56166,1.19303,1.5779,0.000515,0.000515,0.000515
47,4070.88,1.35453,1.14674,1.45762,0.75571,0.59744,0.65816,0.34891,1.58255,1.19015,1.5961,0.000482,0.000482,0.000482
48,4131.2,1.33507,1.14062,1.45743,0.77702,0.59927,0.6543,0.35649,1.56767,1.17174,1.58134,0.000449,0.000449,0.000449
49,4190.27,1.35413,1.15496,1.46338,0.78104,0.60049,0.66573,0.36156,1.5616,1.16785,1.57848,0.000416,0.000416,0.000416
50,4250.03,1.33254,1.09744,1.43588,0.76242,0.61952,0.66564,0.35243,1.5771,1.14731,1.59292,0.000383,0.000383,0.000383
51,4311.59,1.36623,1.10069,1.48027,0.74254,0.61848,0.6632,0.35666,1.56695,1.17461,1.58679,0.00035,0.00035,0.00035
52,4368.76,1.32738,1.01479,1.4488,0.72586,0.62763,0.66737,0.36069,1.55564,1.14466,1.58085,0.000317,0.000317,0.000317
53,4426.18,1.3044,0.97967,1.42663,0.74851,0.61812,0.66802,0.36289,1.55019,1.1299,1.56973,0.000284,0.000284,0.000284
54,4483.58,1.28449,0.97465,1.41271,0.76189,0.61482,0.66936,0.36831,1.55506,1.10394,1.5901,0.000251,0.000251,0.000251
55,4540.85,1.28529,0.94593,1.41624,0.77176,0.59561,0.66826,0.36582,1.54542,1.12821,1.55942,0.000218,0.000218,0.000218
56,4597.55,1.26412,0.9344,1.40065,0.76363,0.61479,0.67086,0.36475,1.54944,1.12914,1.57113,0.000185,0.000185,0.000185
57,4654.73,1.25767,0.93026,1.39696,0.76077,0.63717,0.67769,0.36691,1.54405,1.1201,1.57037,0.000152,0.000152,0.000152
58,4711.15,1.26968,0.93091,1.39839,0.76884,0.63295,0.67692,0.37032,1.53692,1.11013,1.55832,0.000119,0.000119,0.000119
59,4769.37,1.24596,0.91469,1.38717,0.78841,0.60683,0.66968,0.37007,1.5301,1.11881,1.55664,8.6e-05,8.6e-05,8.6e-05
60,4828.64,1.24291,0.90306,1.37636,0.77223,0.61757,0.6727,0.37105,1.5257,1.1136,1.55264,5.3e-05,5.3e-05,5.3e-05
